FirstName,LastName,TeamName
Ish,Smith,Washington Wizards
Moritz,Wagner,Washington Wizards
John,Wall,Washington Wizards
Jordan,Bell,Washington Wizards
J. J.,Barea,Dallas Mavericks
Jalen,Brunson,Dallas Mavericks
Willie,Cauley-Stein,Dallas Mavericks
Antonius,Cleveland,Dallas Mavericks
Seth,Curry,Dallas Mavericks
Luka,Doncic,Dallas Mavericks
Dorian,Finney-Smith,Dallas Mavericks
Tim,Hardaway,Dallas Mavericks
Justin,Jackson,Dallas Mavericks
Michael,Kidd-Gilchrist,Dallas Mavericks
Maxi,Kleber,Dallas Mavericks
Courtney,Lee,Dallas Mavericks
Boban,Marjanovic,Dallas Mavericks
Kristaps,Porzingis,Dallas Mavericks
Dwight,Powell,Dallas Mavericks
Josh,Reaves,Dallas Mavericks
Delon,Wright,Dallas Mavericks
Bruno,Caboclo,Houston Rockets
DeMarre,Carroll,Houston Rockets
Tyson,Chandler,Houston Rockets
Chris,Clemons,Houston Rockets
Robert,Covington,Houston Rockets
Michael,Frazier,Houston Rockets
Jeff,Green,Houston Rockets
Eric,Gordon,Houston Rockets
James,Harden,Houston Rockets
Isaiah,Hartenstein,Houston Rockets
Danuel,House,Houston Rockets
William,Howard,Houston Rockets
Ben,McLemore,Houston Rockets
Austin,Rivers,Houston Rockets
Thabo,Sefolosha,Houston Rockets
P. J.,Tucker,Houston Rockets
Russell,Westbrook,Houston Rockets
Grayson,Allen,Memphis Grizzlies
Kyle,Anderson,Memphis Grizzlies
Dillon,Brooks,Memphis Grizzlies
Brandon,Clarke,Memphis Grizzlies
Gorgui,Dieng,Memphis Grizzlies
Marko,Guduric,Memphis Grizzlies
Jaren,Jackson,Memphis Grizzlies
Josh,Jackson,Memphis Grizzlies
Tyus,Jones,Memphis Grizzlies
John,Konchar,Memphis Grizzlies
De'Anthony,Melton,Memphis Grizzlies
Ja,Morant,Memphis Grizzlies
Jontay,Porter,Memphis Grizzlies
Anthony,Tolliver,Memphis Grizzlies
Jonas,Valanciunas,Memphis Grizzlies
Yuta,Watanabe,Memphis Grizzlies
Justise,Winslow,Memphis Grizzlies
Nickeil,Alexander-Walker,New Orleans Pelicans
Lonzo,Ball,New Orleans Pelicans
Zylan,Cheatham,New Orleans Pelicans
Derrick,Favors,New Orleans Pelicans
Josh,Gray,New Orleans Pelicans
Josh,Hart,New Orleans Pelicans
Jaxson,Hayes,New Orleans Pelicans
Jrue,Holiday,New Orleans Pelicans
Brandon,Ingram,New Orleans Pelicans
Frank,Jackson,New Orleans Pelicans
Nicolo,Melli,New Orleans Pelicans
Darius,Miller,New Orleans Pelicans
E'Twaun,Moore,New Orleans Pelicans
Jahlil,Okafor,New Orleans Pelicans
JJ,Redick,New Orleans Pelicans
Kenrich,Williams,New Orleans Pelicans
Zion,Williamson,New Orleans Pelicans
LaMarcus,Aldridge,San Antonio Spurs
Marco,Belinelli,San Antonio Spurs
DeMar,DeRozan,San Antonio Spurs
Drew,Eubanks,San Antonio Spurs
Bryn,Forbes,San Antonio Spurs
Rudy,Gay,San Antonio Spurs
Keldon,Johnson,San Antonio Spurs
Trey,Lyles,San Antonio Spurs
Chimezie,Metu,San Antonio Spurs
Patty,Mills,San Antonio Spurs
Dejounte,Murray,San Antonio Spurs
Jakob,Poltl,San Antonio Spurs
Luka,Samanic,San Antonio Spurs
Lonnie,Walker,San Antonio Spurs
Quinndary,Weatherspoon,San Antonio Spurs
Derrick,White,San Antonio Spurs
Will,Barton,Denver Nuggets
Keita,Bates-Diop,Denver Nuggets
Bol,Bol,Denver Nuggets
Vlatko,Cancar,Denver Nuggets
Torrey,Craig,Denver Nuggets
Troy,Daniels,Denver Nuggets
P. J.,Dozier,Denver Nuggets
Jerami,Grant,Denver Nuggets
Gary,Harris,Denver Nuggets
Nikola,Jokic,Denver Nuggets
Paul,Millsap,Denver Nuggets
Monte,Morris,Denver Nuggets
Jamal,Murray,Denver Nuggets
Mason,Plumlee,Denver Nuggets
Michael,Porter,Denver Nuggets
Noah,Vonleh,Denver Nuggets
Malik,Beasley,Minnesota Timberwolves
Jarrett,Culver,Minnesota Timberwolves
Jacob,Evans,Minnesota Timberwolves
Juan,Hernangomez,Minnesota Timberwolves
James,Johnson,Minnesota Timberwolves
Jake,Layman,Minnesota Timberwolves
Kelan,Martin,Minnesota Timberwolves
Jordan,McLaughlin,Minnesota Timberwolves
Jaylen,Nowell,Minnesota Timberwolves
Josh,Okogie,Minnesota Timberwolves
Naz,Reid,Minnesota Timberwolves
D'Angelo,Russell,Minnesota Timberwolves
Omari,Spellman,Minnesota Timberwolves
Karl-Anthony,Towns,Minnesota Timberwolves
Evan,Turner,Minnesota Timberwolves
Jarred,Vanderbilt,Minnesota Timberwolves
Steven,Adams,Oklahoma City Thunder
Darius,Bazley,Oklahoma City Thunder
Deonte,Burton,Oklahoma City Thunder
Hamidou,Diallo,Oklahoma City Thunder
Luguentz,Dort,Oklahoma City Thunder
Terrance,Ferguson,Oklahoma City Thunder
Danilo,Gallinari,Oklahoma City Thunder
Shai,Gilgeous-Alexander,Oklahoma City Thunder
Kevin,Hervey,Oklahoma City Thunder
Mike,Muscala,Oklahoma City Thunder
Abdel,Nader,Oklahoma City Thunder
Nerlens,Noel,Oklahoma City Thunder
Chris,Paul,Oklahoma City Thunder
Andre,Roberson,Oklahoma City Thunder
Isaiah,Roby,Oklahoma City Thunder
Dennis,Schroder,Oklahoma City Thunder
Carmelo,Anthony,Portland Trail Blazers
Trevor,Ariza,Portland Trail Blazers
Moses,Brown,Portland Trail Blazers
Zach,Collins,Portland Trail Blazers
Wenyen,Gabriel,Portland Trail Blazers
Mario,Hezonja,Portland Trail Blazers
Jaylen,Hoard,Portland Trail Blazers
Rodney,Hood,Portland Trail Blazers
Damian,Lillard,Portland Trail Blazers
Nassir,Little,Portland Trail Blazers
CJ,McCollum,Portland Trail Blazers
Jusuf,Nurkic,Portland Trail Blazers
Anfernee,Simons,Portland Trail Blazers
Caleb,Swanigan,Portland Trail Blazers
Gary,Trent,Portland Trail Blazers
Hassan,Whiteside,Portland Trail Blazers
Bojan,Bogdanovic,Utah Jazz
Tony,Bradley,Utah Jazz
Jarrell,Brantley,Utah Jazz
Jordan,Clarkson,Utah Jazz
Mike,Conley,Utah Jazz
Ed,Davis,Utah Jazz
Rudy,Gobert,Utah Jazz
Joe,Ingles,Utah Jazz
Donovan,Mitchell,Utah Jazz
Juwan,Morgan,Utah Jazz
Emmanuel,Mudiay,Utah Jazz
Georges,Niang,Utah Jazz
Royce,O'Neale,Utah Jazz
Miye,Oni,Utah Jazz
Rayjon,Tucker,Utah Jazz
Nigel,Williams-Goss,Utah Jazz
Justin,Wright-Foreman,Utah Jazz
Dragan,Bender,Golden State Warriors
Ky,Bowman,Golden State Warriors
Marquese,Chriss,Golden State Warriors
Stephen,Curry,Golden State Warriors
Draymond,Green,Golden State Warriors
Damion,Lee,Golden State Warriors
Kevon,Looney,Golden State Warriors
Mychal,Mulder,Golden State Warriors
Eric,Paschall,Golden State Warriors
Jordan,Poole,Golden State Warriors
Chasson,Randle,Golden State Warriors
Alen,Smailagic,Golden State Warriors
Klay,Thompson,Golden State Warriors
Juan,Toscano-Anderson,Golden State Warriors
Andrew,Wiggins,Golden State Warriors
Patrick,Beverley,Los Angeles Clippers
Amir,Coffey,Los Angeles Clippers
Paul,George,Los Angeles Clippers
JaMychal,Green,Los Angeles Clippers
Montrezl,Harrell,Los Angeles Clippers
Reggie,Jackson,Los Angeles Clippers
Mfiondu,Kabengele,Los Angeles Clippers
Kawhi,Leonard,Los Angeles Clippers
Terance,Mann,Los Angeles Clippers
Rodney,McGruder,Los Angeles Clippers
Marcus,Morris,Los Angeles Clippers
Johnathan,Motley,Los Angeles Clippers
Patrick,Patterson,Los Angeles Clippers
Landry,Shamet,Los Angeles Clippers
Lou,Williams,Los Angeles Clippers
Ivica,Zubac,Los Angeles Clippers
Kostas,Antetokounmpo,Los Angeles Lakers
Avery,Bradley,Los Angeles Lakers
Devontae,Cacok,Los Angeles Lakers
Kentavious,Caldwell-Pope,Los Angeles Lakers
Alex,Caruso,Los Angeles Lakers
Quinn,Cook,Los Angeles Lakers
Anthony,Davis,Los Angeles Lakers
Jared,Dudley,Los Angeles Lakers
Danny,Green,Los Angeles Lakers
Talen,Horton-Tucker,Los Angeles Lakers
Dwight,Howard,Los Angeles Lakers
LeBron,James,Los Angeles Lakers
Kyle,Kuzma,Los Angeles Lakers
JaVale,McGee,Los Angeles Lakers
Markieff,Morris,Los Angeles Lakers
Rajon,Rondo,Los Angeles Lakers
Dion,Waiters,Los Angeles Lakers
Deandre,Ayton,Phoenix Suns
Aron,Baynes,Phoenix Suns
Devin,Booker,Phoenix Suns
Mikal,Bridges,Phoenix Suns
Jevon,Carter,Phoenix Suns
Cheick,Diallo,Phoenix Suns
Jared,Harper,Phoenix Suns
Ty,Jerome,Phoenix Suns
Cameron,Johnson,Phoenix Suns
Frank,Kaminsky,Phoenix Suns
Jalen,Lecque,Phoenix Suns
Elie,Okobo,Phoenix Suns
Kelly,Oubre,Phoenix Suns
Tariq,Owens,Phoenix Suns
Ricky,Rubio,Phoenix Suns
Dario,Saric,Phoenix Suns
Marvin,Bagley,Sacramento Kings
Harrison,Barnes,Sacramento Kings
Kent,Bazemore,Sacramento Kings
Nemanja,Bjelica,Sacramento Kings
