GameDate,GameStartET,DateId,VisitorTeamName,VisitorPoints,HomeTeamName,HomePoints,Overtime,Attendance,ArenaName
2017-10-29,3:30p,13,Milwaukee Bucks,117,Atlanta Hawks,106,,14014,State Farm Arena
2017-10-29,4:30p,13,San Antonio Spurs,94,Indiana Pacers,97,,15013,Bankers Life Fieldhouse
2017-10-29,6:00p,13,Denver Nuggets,124,Brooklyn Nets,111,,14854,Barclays Center
2017-10-29,6:00p,13,Orlando Magic,113,Charlotte Hornets,120,,15531,Spectrum Center
2017-10-29,6:00p,13,Washington Wizards,110,Sacramento Kings,83,,17583,Golden 1 Center
2017-10-29,7:00p,13,New York Knicks,114,Cleveland Cavaliers,95,,20562,Rocket Mortgage FieldHouse
2017-10-29,8:30p,13,Detroit Pistons,115,Golden State Warriors,107,,19596,Chase Center
2017-10-30,7:30p,14,San Antonio Spurs,94,Boston Celtics,108,,18624,TD Garden
2017-10-30,7:30p,14,Minnesota Timberwolves,125,Miami Heat,122,OT,19600,American Airlines Arena
2017-10-30,7:30p,14,Denver Nuggets,110,New York Knicks,116,,19812,Madison Square Garden
2017-10-30,8:00p,14,Philadelphia 76ers,115,Houston Rockets,107,,16714,Toyota Center
2017-10-30,8:00p,14,Charlotte Hornets,104,Memphis Grizzlies,99,,15771,FedExForum
2017-10-30,8:00p,14,Orlando Magic,115,New Orleans Pelicans,99,,14004,Smoothie King Center
2017-10-30,9:00p,14,Dallas Mavericks,89,Utah Jazz,104,,16221,Vivint Smart Home Arena
2017-10-30,10:00p,14,Toronto Raptors,99,Portland Trail Blazers,85,,18505,Moda Center
2017-10-30,10:30p,14,Golden State Warriors,141,Los Angeles Clippers,113,,19068,Staples Center
2017-10-31,7:00p,15,Sacramento Kings,83,Indiana Pacers,101,,12245,Bankers Life Fieldhouse
2017-10-31,7:30p,15,Phoenix Suns,122,Brooklyn Nets,114,,12936,Barclays Center
2017-10-31,8:00p,15,Oklahoma City Thunder,110,Milwaukee Bucks,91,,16713,Fiserv Forum
2017-10-31,10:30p,15,Detroit Pistons,93,Los Angeles Lakers,113,,17569,Staples Center
2017-11-01,7:00p,16,Milwaukee Bucks,121,Charlotte Hornets,126,,15655,Spectrum Center
2017-11-01,7:00p,16,Indiana Pacers,124,Cleveland Cavaliers,107,,20562,Rocket Mortgage FieldHouse
2017-11-01,7:00p,16,Atlanta Hawks,109,Philadelphia 76ers,119,,20549,Wells Fargo Center
2017-11-01,7:00p,16,Phoenix Suns,122,Washington Wizards,116,,14790,Capital One Arena
2017-11-01,7:30p,16,Sacramento Kings,86,Boston Celtics,113,,18624,TD Garden
2017-11-01,7:30p,16,Chicago Bulls,91,Miami Heat,97,,19600,American Airlines Arena
2017-11-01,8:00p,16,Orlando Magic,101,Memphis Grizzlies,99,,15434,FedExForum
2017-11-01,8:00p,16,Minnesota Timberwolves,104,New Orleans Pelicans,98,,14788,Smoothie King Center
2017-11-01,8:00p,16,Houston Rockets,119,New York Knicks,97,,18320,Madison Square Garden
2017-11-01,9:00p,16,Toronto Raptors,111,Denver Nuggets,129,,14072,Pepsi Center
2017-11-01,9:00p,16,Portland Trail Blazers,103,Utah Jazz,112,OT,16685,Vivint Smart Home Arena
2017-11-01,10:30p,16,Dallas Mavericks,98,Los Angeles Clippers,119,,13487,Staples Center
2017-11-02,8:00p,17,Golden State Warriors,112,San Antonio Spurs,92,,18418,AT&T Center
2017-11-02,10:30p,17,Los Angeles Lakers,110,Portland Trail Blazers,113,,19469,Moda Center
2017-11-03,7:00p,18,Milwaukee Bucks,96,Detroit Pistons,105,,17207,Little Caesars Arena
2017-11-03,7:00p,18,Chicago Bulls,105,Orlando Magic,83,,19171,Amway Center
2017-11-03,7:00p,18,Indiana Pacers,110,Philadelphia 76ers,121,,20668,Wells Fargo Center
2017-11-03,7:00p,18,Cleveland Cavaliers,130,Washington Wizards,122,,20356,Capital One Arena
2017-11-03,7:30p,18,Houston Rockets,119,Atlanta Hawks,104,,14087,State Farm Arena
2017-11-03,7:30p,18,Phoenix Suns,107,New York Knicks,120,,19404,Madison Square Garden
2017-11-03,8:30p,18,New Orleans Pelicans,99,Dallas Mavericks,94,,19894,American Airlines Center
2017-11-03,8:30p,18,Charlotte Hornets,101,San Antonio Spurs,108,,18418,AT&T Center
2017-11-03,9:00p,18,Miami Heat,94,Denver Nuggets,95,,15317,Pepsi Center
2017-11-03,9:00p,18,Toronto Raptors,109,Utah Jazz,100,,16258,Vivint Smart Home Arena
2017-11-03,9:30p,18,Boston Celtics,101,Oklahoma City Thunder,94,,18203,Chesapeake Energy Arena
2017-11-03,10:30p,18,Brooklyn Nets,112,Los Angeles Lakers,124,,18997,Staples Center
2017-11-04,3:30p,19,Memphis Grizzlies,113,Los Angeles Clippers,104,,14777,Staples Center
2017-11-04,7:00p,19,Sacramento Kings,99,Detroit Pistons,108,,17683,Little Caesars Arena
2017-11-04,8:00p,19,New Orleans Pelicans,96,Chicago Bulls,90,OT,21254,United Center
2017-11-04,8:00p,19,Dallas Mavericks,99,Minnesota Timberwolves,112,,16837,Target Center
2017-11-04,9:00p,19,Golden State Warriors,127,Denver Nuggets,108,,19711,Pepsi Center
2017-11-05,3:00p,20,Atlanta Hawks,117,Cleveland Cavaliers,115,,20562,Rocket Mortgage FieldHouse
2017-11-05,3:30p,20,Miami Heat,104,Los Angeles Clippers,101,,15676,Staples Center
2017-11-05,6:00p,20,Boston Celtics,104,Orlando Magic,88,,17731,Amway Center
2017-11-05,6:00p,20,Washington Wizards,107,Toronto Raptors,96,,19800,Scotiabank Arena
2017-11-05,7:00p,20,Utah Jazz,110,Houston Rockets,137,,16914,Toyota Center
2017-11-05,7:00p,20,Phoenix Suns,95,San Antonio Spurs,112,,18038,AT&T Center
2017-11-05,7:30p,20,Indiana Pacers,101,New York Knicks,108,,17889,Madison Square Garden
2017-11-05,8:00p,20,Charlotte Hornets,94,Minnesota Timberwolves,112,,14124,Target Center
2017-11-05,9:00p,20,Oklahoma City Thunder,99,Portland Trail Blazers,103,,19393,Moda Center
