MemberID,FirstName,LastName,TeamName
237,Isaac,Bonga,Washington Wizards
238,Troy,Brown,Washington Wizards
239,Thomas,Bryant,Washington Wizards
240,Rui,Hachimura,Washington Wizards
241,Ian,Mahinmi,Washington Wizards
242,Garrison,Mathews,Washington Wizards
243,Shabazz,Napier,Washington Wizards
244,Anzejs,Pasecniks,Washington Wizards
245,Gary,Payton,Washington Wizards
246,Jerome,Robinson,Washington Wizards
247,Admiral,Schofield,Washington Wizards
248,Ish,Smith,Washington Wizards
249,Moritz,Wagner,Washington Wizards
250,John,Wall,Washington Wizards
251,Jordan,Bell,Washington Wizards
252,J. J.,Barea,Dallas Mavericks
253,Jalen,Brunson,Dallas Mavericks
254,Willie,Cauley-Stein,Dallas Mavericks
255,Antonius,Cleveland,Dallas Mavericks
256,Seth,Curry,Dallas Mavericks
257,Luka,Doncic,Dallas Mavericks
258,Dorian,Finney-Smith,Dallas Mavericks
259,Tim,Hardaway,Dallas Mavericks
260,Justin,Jackson,Dallas Mavericks
261,Michael,Kidd-Gilchrist,Dallas Mavericks
262,Maxi,Kleber,Dallas Mavericks
263,Courtney,Lee,Dallas Mavericks
264,Boban,Marjanovic,Dallas Mavericks
265,Kristaps,Porzingis,Dallas Mavericks
266,Dwight,Powell,Dallas Mavericks
267,Josh,Reaves,Dallas Mavericks
268,Delon,Wright,Dallas Mavericks
269,Bruno,Caboclo,Houston Rockets
270,DeMarre,Carroll,Houston Rockets
271,Tyson,Chandler,Houston Rockets
272,Chris,Clemons,Houston Rockets
273,Robert,Covington,Houston Rockets
274,Michael,Frazier,Houston Rockets
275,Jeff,Green,Houston Rockets
276,Eric,Gordon,Houston Rockets
277,James,Harden,Houston Rockets
278,Isaiah,Hartenstein,Houston Rockets
279,Danuel,House,Houston Rockets
280,William,Howard,Houston Rockets
281,Ben,McLemore,Houston Rockets
282,Austin,Rivers,Houston Rockets
283,Thabo,Sefolosha,Houston Rockets
284,P. J.,Tucker,Houston Rockets
285,Russell,Westbrook,Houston Rockets
286,Grayson,Allen,Memphis Grizzlies
287,Kyle,Anderson,Memphis Grizzlies
288,Dillon,Brooks,Memphis Grizzlies
289,Brandon,Clarke,Memphis Grizzlies
290,Gorgui,Dieng,Memphis Grizzlies
291,Marko,Guduric,Memphis Grizzlies
292,Jaren,Jackson,Memphis Grizzlies
293,Josh,Jackson,Memphis Grizzlies
294,Tyus,Jones,Memphis Grizzlies
295,John,Konchar,Memphis Grizzlies
296,De'Anthony,Melton,Memphis Grizzlies
297,Ja,Morant,Memphis Grizzlies
298,Jontay,Porter,Memphis Grizzlies
299,Anthony,Tolliver,Memphis Grizzlies
300,Jonas,Valanciunas,Memphis Grizzlies
301,Yuta,Watanabe,Memphis Grizzlies
302,Justise,Winslow,Memphis Grizzlies
303,Nickeil,Alexander-Walker,New Orleans Pelicans
304,Lonzo,Ball,New Orleans Pelicans
305,Zylan,Cheatham,New Orleans Pelicans
306,Derrick,Favors,New Orleans Pelicans
307,Josh,Gray,New Orleans Pelicans
308,Josh,Hart,New Orleans Pelicans
309,Jaxson,Hayes,New Orleans Pelicans
310,Jrue,Holiday,New Orleans Pelicans
311,Brandon,Ingram,New Orleans Pelicans
312,Frank,Jackson,New Orleans Pelicans
313,Nicolo,Melli,New Orleans Pelicans
314,Darius,Miller,New Orleans Pelicans
315,E'Twaun,Moore,New Orleans Pelicans
316,Jahlil,Okafor,New Orleans Pelicans
317,JJ,Redick,New Orleans Pelicans
318,Kenrich,Williams,New Orleans Pelicans
319,Zion,Williamson,New Orleans Pelicans
320,LaMarcus,Aldridge,San Antonio Spurs
321,Marco,Belinelli,San Antonio Spurs
